City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Havoysund,NO,70.9963,24.6622,18.48,89,100,4.79,overcast clouds
255,Geraldton,AU,-28.7667,114.6,73.81,88,40,4.61,scattered clouds
256,Port Hardy,CA,50.6996,-127.4199,50.76,67,100,6.29,overcast clouds
257,Mahibadhoo,MV,3.7833,72.9667,81.0,78,100,10.67,overcast clouds
258,Chokurdakh,RU,70.6333,147.9167,-9.36,94,99,8.55,overcast clouds
259,Puerto Carreno,CO,6.189,-67.4859,89.2,35,44,7.52,scattered clouds
260,Camacha,PT,33.0833,-16.3333,58.42,67,20,10.36,few clouds
261,Delta,NG,5.5,6.0,79.25,82,40,4.14,scattered clouds
262,Aloleng,PH,16.1307,119.7824,77.59,80,61,9.37,broken clouds
263,Irati,BR,-25.4672,-50.6511,66.88,92,87,2.04,moderate rain
264,Sturgeon Bay,US,44.8342,-87.377,14.09,52,0,5.75,clear sky
265,Vardo,NO,70.3705,31.1107,22.75,92,100,22.62,light snow
266,Sitka,US,57.0531,-135.33,42.69,81,100,4.61,light rain
267,Santo Tomas,PH,14.1079,121.1414,77.58,91,90,4.29,overcast clouds
268,Goroka,PG,-6.0834,145.3873,66.31,89,100,0.76,overcast clouds
269,Kungurtug,RU,50.5994,97.5228,-24.56,97,86,1.74,overcast clouds
270,North Myrtle Beach,US,33.816,-78.68,55.22,83,100,6.91,overcast clouds
271,Itapui,BR,-22.2333,-48.7192,72.5,77,6,0.63,clear sky
272,Henderson,US,36.0397,-114.9819,74.75,13,0,8.05,clear sky
273,Le Port,RE,-20.9373,55.2919,78.8,78,49,3.18,scattered clouds
274,Humboldt,US,40.6665,-123.9178,66.38,51,91,4.12,overcast clouds
275,Moose Factory,CA,51.2585,-80.6094,-7.62,97,100,1.95,overcast clouds
276,Tasiilaq,GL,65.6145,-37.6368,21.36,93,100,14.36,light snow
277,Kunashak,RU,55.7032,61.5498,16.09,43,100,6.49,light snow
278,Lichuan,CN,30.3,108.85,31.46,95,42,2.77,scattered clouds
279,Mecca,SA,21.4267,39.8261,73.33,28,0,6.82,clear sky
280,Trinidad,BO,-14.8333,-64.9,74.98,81,76,0.72,broken clouds
281,Praia,CV,14.9215,-23.5087,72.14,78,0,14.97,clear sky
282,Troitskoye,RU,52.9821,84.6757,18.73,91,100,9.86,overcast clouds
283,Bonavista,CA,48.6499,-53.1147,36.12,75,100,16.98,overcast clouds
284,Kavaratti,IN,10.5669,72.642,80.13,72,33,5.28,scattered clouds
285,Xuddur,SO,4.1213,43.8894,69.91,63,90,12.08,overcast clouds
286,Molodizhne,UA,48.1773,32.6601,29.93,60,0,5.68,clear sky
287,Paragould,US,36.0584,-90.4973,47.07,43,2,9.42,clear sky
288,Goderich,CA,43.7501,-81.7165,14.92,86,100,5.19,overcast clouds
289,Aswan,EG,24.0934,32.907,60.82,29,0,9.89,clear sky
290,Ekhabi,RU,53.5102,142.9671,-12.06,95,15,9.35,few clouds
291,Yarmouth,US,41.7057,-70.2286,35.71,93,100,10.36,snow
292,Kruisfontein,ZA,-34.0033,24.7314,66.24,81,32,7.07,scattered clouds
293,Mbanza-Ngungu,CD,-5.25,14.8667,68.29,95,100,5.3,moderate rain
294,Ikirun,NG,7.9167,4.6667,76.37,70,14,3.89,few clouds
295,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,69,99,4.47,overcast clouds
296,Zeya,RU,53.75,127.2667,1.45,86,100,4.56,overcast clouds
297,Angoche,MZ,-16.2325,39.9086,77.29,88,20,4.47,few clouds
298,Warner Robins,US,32.621,-83.5999,52.16,26,0,19.57,clear sky
299,Cozumel,MX,20.5083,-86.9458,78.94,67,0,11.5,clear sky
300,Acarau,BR,-2.8856,-40.12,79.72,80,12,15.46,few clouds
301,San Bartolome De Tirajana,ES,27.9248,-15.5733,54.07,77,20,14.97,few clouds
302,Iqaluit,CA,63.7506,-68.5145,-14.31,68,100,5.01,overcast clouds
303,Mokolo,CM,10.7398,13.8019,71.08,20,100,5.59,overcast clouds
304,Oriximina,BR,-1.7656,-55.8661,78.66,80,85,0.98,overcast clouds
305,Ekibastuz,KZ,51.6667,75.3667,1.99,99,68,2.08,broken clouds
